stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
040000002039,,"Blacksmith Lane",,51.699804,-0.737722,,,,,,
040000002041,,"The Traveller's Rest PH",,51.699713,-0.733427,,,,,,
040000002043,,"The Green Man PH",,51.700285,-0.728998,,,,,,
040000002045,,"Broomfield Hill",,51.701723,-0.72479,,,,,,
040000002047,,"Martinsend Lane",,51.702416,-0.719054,,,,,,
040000002048,,"Railway Station",,51.703729,-0.709205,,,,,,
040000002046,,"Martinsend Lane",,51.70251,-0.717807,,,,,,
040000002044,,"Broomfield Hill",,51.701632,-0.724648,,,,,,
040000002042,,"The Green Man PH",,51.700177,-0.728986,,,,,,
040000002040,,"The Traveller's Rest PH",,51.699645,-0.733805,,,,,,
040000002038,,"Blacksmith Lane",,51.699711,-0.737436,,,,,,
040000002036,,"Village Hall",,51.699108,-0.742488,,,,,,
040000002034,,"Sixty Acres Road",,51.695916,-0.742403,,,,,,
040000002032,,"Hildreth Road",,51.693345,-0.739957,,,,,,
040000002030,,"Holy Trinity Church",,51.689655,-0.736283,,,,,,
040000002028,,"Peterley Corner",,51.683911,-0.733955,,,,,,
040000002026,,"Cherry Tree Close",,51.677378,-0.734383,,,,,,
040000002020,,"The Common",,51.675065,-0.733319,,,,,,
040000002011,,"Stag Lane",,51.675272,-0.727529,,,,,,
040000002018,,Fernside,,51.675608,-0.72616,,,,,,
040000002016,,"Heath End Road",,51.678269,-0.722787,,,,,,
040000002014,,"Spurlands End Road",,51.675617,-0.720345,,,,,,
040000002012,,"Copes Road",,51.673497,-0.71893,,,,,,
040000003082,,"George's Hill",,51.663387,-0.720242,,,,,,
040000003083,,"Honeysuckle Road",,51.664493,-0.716972,,,,,,
040000003720,,"Primrose Hill",,51.664676,-0.714769,,,,,,
040000003545,,Clayhill,,51.609196,-0.798927,,,,,,
040000003543,,"Marlow Road",,51.617159,-0.830638,,,,,,
040000003557,,"The Row",,51.619588,-0.834346,,,,,,
040000003563,,"Simmons Way",,51.618749,-0.828604,,,,,,
040000003561,,"Slayter Road",,51.620338,-0.827494,,,,,,
040000002913,,"Tapping Road",,51.621005,-0.829456,,,,,,
040000003559,,"Archers Way",,51.621082,-0.83178,,,,,,
040000003554,,"Widdenton View",,51.623319,-0.830653,,,,,,
040000003552,,"Briars Hey",,51.623158,-0.823507,,,,,,
040000003550,,"Sandage Wood",,51.622034,-0.816371,,,,,,
040000003548,,"Grove Farm",,51.621154,-0.806744,,,,,,
040000003358,,"Rydal Way",,51.623226,-0.793934,,,,,,
040000003356,,"Hillbottom Road",,51.63051,-0.791328,,,,,,
040000003354,,"Pinewood Road",,51.631282,-0.787681,,,,,,
040000003352,,"The Hour Glass PH",,51.632813,-0.784505,,,,,,
040000003363,,"Lane End Road",,51.631693,-0.785763,,,,,,
040000003365,,"Pinewood Road",,51.63114,-0.787916,,,,,,
040000003367,,"Hillbottom Road",,51.630905,-0.790422,,,,,,
040000003077,,"Rydal Way",,51.623279,-0.793774,,,,,,
040000003547,,"Grove Farm",,51.621129,-0.806947,,,,,,
040000003549,,"Sandage Wood",,51.621922,-0.816865,,,,,,
040000003551,,"Briars Hey",,51.623316,-0.824066,,,,,,
040000003553,,"Widdenton View",,51.623177,-0.830816,,,,,,
040000003555,,"Wrights Close",,51.622728,-0.834525,,,,,,
040000003558,,"Blackwell Road",,51.621878,-0.832222,,,,,,
040000002914,,"Tapping Road",,51.621204,-0.829538,,,,,,
040000003562,,"Slayter Road",,51.620424,-0.827131,,,,,,
040000002980,,"Simmons Way",,51.618618,-0.829041,,,,,,
040000003544,,"Marlow Road",,51.617157,-0.830393,,,,,,
040000003546,,Clayhill,,51.60884,-0.799269,,,,,,
040000003409,,"Marlow Road",,51.614968,-0.768473,,,,,,
040000003755,,"The Blacksmiths' Arms PH",,51.608258,-0.770835,,,,,,
040000003757,,"Burroughs Grove Hill",,51.600179,-0.769566,,,,,,
040000003759,,"The Three Horseshoes PH",,51.593744,-0.766405,,,,,,
040000003761,,"Wycombe Road",,51.585189,-0.766074,,,,,,
040000003763,,"Churchill Drive",,51.583729,-0.761509,,,,,,
040000003765,,"Wiltshire Road",,51.581154,-0.761175,,,,,,
040000002438,,"Little Marlow Road",,51.580452,-0.760313,,,,,,
040000003767,,"Bobmore Lane",,51.578808,-0.765525,,,,,,
040000003769,,"Foxes Piece",,51.575523,-0.771299,,,,,,
040000003771,,"Spittal Street",,51.573274,-0.775487,,,,,,
040000003789,,"West Street",,51.570527,-0.779385,,,,,,
040000003791,,"Spinfield Lane",,51.568418,-0.785847,,,,,,
040000003793,,"Pound Lane",,51.565842,-0.789754,,,,,,
040000003795,,"Hook's Corner",,51.564088,-0.801097,,,,,,
040000003797,,"Harleyford Manor",,51.560954,-0.810311,,,,,,
040000003799,,"Combined School",,51.558318,-0.815515,,,,,,
040000003801,,"Thames Reach",,51.557079,-0.821967,,,,,,
040000003803,,"Danesfield House",,51.554099,-0.827034,,,,,,
040000003805,,"Millbank Wood",,51.552516,-0.829628,,,,,,
040000003807,,"The Dog & Badger PH",,51.553324,-0.839516,,,,,,
040000003886,,"Westfield Bungalows",,51.555385,-0.849763,,,,,,
040000003809,,"Mill End",,51.55874,-0.868374,,,,,,
040000003811,,Greenlands,,51.563726,-0.883846,,,,,,
040000003813,,"Benhams Lane",,51.561962,-0.894088,,,,,,
040000003815,,"Fawley Court Farm",,51.560819,-0.897867,,,,,,
040000003817,,"Icehouse Lane",,51.555991,-0.901777,,,,,,
340001663SOU,,"Swiss Farm",,51.54542,-0.90355,,,,,,
340001512BLN,,"Bell Street North",,51.53983,-0.90432,,,,,,
340000393TH,,"Hart Street",,51.53757,-0.90356,,,,,,
340000270STN,,"Henley-on-Thames Stn",,51.53473,-0.90105,,,,,,
340001521OPP,,"St Marks Road",,51.53239,-0.90155,,,,,,
340001522OPP,,"Niagara Road",,51.52939,-0.89775,,,,,,
340000736CNR,,"Newtown Road",,51.52788,-0.89601,,,,,,
340003222TES,,"Tesco Superstore",,51.52666,-0.8952,,,,,,
340000364TS,,Allotments,,51.52519,-0.89439,,,,,,
340001670CNR,,"Bolney Lane",,51.51454,-0.89234,,,,,,
340001680SRD,,"Station Road",,51.51025,-0.8906,,,,,,
340001667OPP,,"Mill Lane",,51.50341,-0.89441,,,,,,
340001669SCA,,"Shiplake College",,51.49967,-0.89828,,,,,,
340000651PH,,"The Plowden Arms PH",,51.49912,-0.89963,,,,,,
340001668OPP,,"Memorial Avenue",,51.50057,-0.90589,,,,,,
340000094WHT,,"The White Hart PH",,51.5008,-0.9112,,,,,,
340001666OUT,,"Heathfield Close",,51.50068,-0.92447,,,,,,
340000094OPP,,"Gravel Road",,51.49572,-0.93086,,,,,,
340001665OUT,,"Bints Farm",,51.49208,-0.93417,,,,,,
340000269OPP,,"The Green",,51.48831,-0.93696,,,,,,
340001664OPP,,"Play Hatch Roundabout W",,51.47877,-0.93325,,,,,,
039026300003,,"Henley Road County Boundary",,51.47466,-0.94261,,,,,,
039026670002,,"Micklands Road",,51.47319,-0.94679,,,,,,
039025030002,,"All Hallows Road",,51.47149,-0.95103,,,,,,
039027360001,,"Star Inn",,51.46796,-0.95952,,,,,,
039026720002,,"Montague Street",,51.46622,-0.95932,,,,,,
039027300001,,"St Johns Road",,51.4655,-0.96277,,,,,,
039026000001,,"Elizabeth House",,51.46613,-0.96738,,,,,,
039027770001,,"Westfield Road",,51.46679,-0.97065,,,,,,
039025600002,,"Church Street",,51.46748,-0.97353,,,,,,
039025290001,,"Bridge Street Caversham",,51.46687,-0.97672,,,,,,
039027500001,,"The Moderation",,51.46414,-0.9769,,,,,,
039027410001,,"Swansea Road",,51.46265,-0.9753,,,,,,
039028320004,,"Station North Interchange",,51.46009,-0.9714,,,,,,
039028160002,,"Forbury Road",,51.4579,-0.9701,,,,,,
039028170001,,"Friar Street",,51.45665,-0.97099,,,,,,
340000393BEL,,"Bell Street",,51.53776,-0.90483,,,,,,
340001512OPP,,"Bell Street North",,51.54055,-0.90464,,,,,,
340001663NOR,,"Swiss Farm",,51.54561,-0.9036,,,,,,
040000003796,,"Icehouse Lane",,51.556422,-0.901738,,,,,,
040000003956,,"Fawley Court Farm",,51.561025,-0.897775,,,,,,
040000003794,,"Benhams Lane",,51.562051,-0.894043,,,,,,
040000003792,,Greenlands,,51.563696,-0.88451,,,,,,
040000003790,,"Mill End",,51.558708,-0.867855,,,,,,
040000003888,,"Westfield Bungalows",,51.555539,-0.849602,,,,,,
040000003788,,"The Dog & Badger PH",,51.553504,-0.839569,,,,,,
040000003786,,"Millbank Wood",,51.552614,-0.829582,,,,,,
040000003784,,"Danesfield House",,51.554475,-0.826808,,,,,,
040000003782,,"Thames Reach",,51.557279,-0.820375,,,,,,
040000003780,,"Combined School",,51.558223,-0.815907,,,,,,
040000003778,,"Harleyford Manor",,51.560946,-0.810484,,,,,,
040000003776,,"Hook's Corner",,51.564117,-0.801284,,,,,,
040000003774,,"Pound Lane",,51.565552,-0.79044,,,,,,
040000003772,,"Spinfield Lane",,51.569223,-0.784571,,,,,,
040000003770,,"West Street",,51.570965,-0.779099,,,,,,
040000003768,,"Queens Road",,51.574948,-0.780753,,,,,,
040000003766,,"Dean Street",,51.575035,-0.778773,,,,,,
040000003764,,"Dean Street Car Park",,51.573848,-0.777016,,,,,,
040000003752,,"Spittal Street",,51.573875,-0.774504,,,,,,
040000003750,,"Foxes Piece",,51.575721,-0.771309,,,,,,
040000003748,,"Bobmore Lane",,51.578553,-0.76696,,,,,,
040000003744,,"Wiltshire Road",,51.581442,-0.761253,,,,,,
040000003742,,"Churchill Drive",,51.583779,-0.762013,,,,,,
040000003740,,"Wycombe Road",,51.585467,-0.766903,,,,,,
040000003738,,"The Three Horseshoes PH",,51.594563,-0.766541,,,,,,
040000003734,,"The Blacksmiths' Arms PH",,51.60881,-0.771109,,,,,,
040000003394,,"Marlow Road",,51.616034,-0.768097,,,,,,
039028160001,,"Forbury Road",,51.45798,-0.96985,,,,,,
039027410002,,"Swansea Road",,51.46265,-0.9755,,,,,,
039027500002,,"The Moderation",,51.46457,-0.97755,,,,,,
039025290002,,"Bridge Street Caversham",,51.46649,-0.97696,,,,,,
039025600001,,"Church Street",,51.46776,-0.97549,,,,,,
039027770002,,"Westfield Road",,51.46647,-0.96906,,,,,,
039027680001,,"Washington Road",,51.46586,-0.96484,,,,,,
039027300002,,"St Johns Road",,51.46543,-0.96185,,,,,,
039026720001,,"Montague Street",,51.46589,-0.95938,,,,,,
039027360002,,"Star Inn",,51.46896,-0.95935,,,,,,
039025540001,,"Chiltern Road",,51.47068,-0.95788,,,,,,
039027590001,,"Travellers Rest",,51.47064,-0.95423,,,,,,
039025030001,,"All Hallows Road",,51.47146,-0.95158,,,,,,
039026670001,,"Micklands Road",,51.47334,-0.94676,,,,,,
039026300002,,"Henley Road County Boundary",,51.47486,-0.94246,,,,,,
340001664OUT,,"Play Hatch Roundabout W",,51.47865,-0.93333,,,,,,
340000269WEL,,"The Green",,51.48836,-0.93705,,,,,,
340001665OPP,,"Bints Farm",,51.49219,-0.93421,,,,,,
340000094INN,,"Gravel Road",,51.4956,-0.93097,,,,,,
340001666OPP,,"Heathfield Close",,51.50073,-0.92423,,,,,,
340000094WHO,,"The White Hart PH",,51.50099,-0.91092,,,,,,
340001668CNR,,"Memorial Avenue",,51.50067,-0.90592,,,,,,
340000658PA,,"The Plowden Arms PH",,51.49921,-0.89977,,,,,,
340001669SCO,,"Shiplake College",,51.49967,-0.89851,,,,,,
340001667OUT,,"Mill Lane",,51.50346,-0.89461,,,,,,
